ResourceType,Count,Percentage
microsoft.storage/storageaccoun ts/blobservices/containers,2,6.13E-05
microsoft.storage/,2,6.13E-05
microsoft.sql/managedinstances/providers/roleassignments,2,6.13E-05
microsoft.servicebus/namespaces/topics/providers/locks,2,6.13E-05
microsoft.servicebus/namespaces/queues/providers/locks,2,6.13E-05
microsoft.security/servervulnerabilityassessments,2,6.13E-05
microsoft.search/searchservices/providers/locks,2,6.13E-05
microsoft.operationalinsights/workspaces/tables,2,6.13E-05
microsoft.notificationhubs/namespaces/providers/locks,2,6.13E-05
microsoft.network/vpngateways/vpnconnections,2,6.13E-05
microsoft.network/virtualnetworks/subnets/providers/roleassignments/,2,6.13E-05
microsoft.network/privatelinkservices/privateendpointconnections,2,6.13E-05
microsoft.network/networkwatchers/flowlogs,2,6.13E-05
microsoft.network/localnetworkgateways/providers/locks,2,6.13E-05
microsoft.network/dnszones/ptr,2,6.13E-05
microsoft.network/dnszones/c,2,6.13E-05
microsoft.network/connections/providers/locks,2,6.13E-05
microsoft.network/bastionhosts/providers/roleassignments,2,6.13E-05
microsoft.network/applicationgateways/sslcertificates,2,6.13E-05
microsoft.multiaccessedgecompute/vnfs,2,6.13E-05
microsoft.multiaccessedgecompute/devices,2,6.13E-05
microsoft.migrate/projects/groups/assessments,2,6.13E-05
microsoft.machinelearningservices/workspaces/providers/eventsubscriptions,2,6.13E-05
microsoft.machinelearningexperimentation/accounts/workspaces,2,6.13E-05
microsoft.logic/workflows/providers/roleassignments,2,6.13E-05
microsoft.insights/components/providers/diagnosticsettings,2,6.13E-05
microsoft.insights/azure.applicationinsights,2,6.13E-05
microsoft.eventgrid/topics/providers/roleassignments,2,6.13E-05
microsoft.documentdb/databaseaccounts/sqldatabases/providers/roleassignments,2,6.13E-05
microsoft.devtestlab/labs/users/secrets,2,6.13E-05
microsoft.devtestlab/labs/servicerunners,2,6.13E-05
microsoft.devspaces/controllers,2,6.13E-05
microsoft.devices/iothubs/providers/links,2,6.13E-05
microsoft.dbforpostgresql/servers/servers/virtualnetworkrules,2,6.13E-05
microsoft.dbforpostgresql,2,6.13E-05
microsoft.datafactory/factories/triggers/status,2,6.13E-05
microsoft.customproviders/resourceproviders/sessionhost,2,6.13E-05
microsoft.containerregistry/vaults/providers/diagnosticsettings,2,6.13E-05
microsoft.compute/virtualmachines/extensions/,2,6.13E-05
microsoft.commerce.providers/usageconnections,2,6.13E-05
microsoft.classicstorage/storageaccounts/disks,2,6.13E-05
microsoft.classicnetwork/reservedips,2,6.13E-05
microsoft.classiccompute/domainnames/servicecertificates,2,6.13E-05
microsoft.batch/batchaccounts/applications/versions,2,6.13E-05
microsoft.backup/backupvault/registeredcontainers/protecteditems,2,6.13E-05
microsoft.azure.extensions.customscript,2,6.13E-05
microsoft.attestation/attestationproviders,2,6.13E-05
microsoft,2,6.13E-05
labs/schedules,2,6.13E-05
host/functionkeys,2,6.13E-05
'microsoft.datafactory/factories/providers/diagnosticsettings')],2,6.13E-05
"}
        }
    ]
}",1,3.06E-05
webhooks,1,3.06E-05
transparentdataencryaption,1,3.06E-05
topics/subscriptions,1,3.06E-05
state,1,3.06E-05
servers/databases,1,3.06E-05
"s

            }
            }
        }
    ]
}",1,3.06E-05
providers/diagnosticssettings,1,3.06E-05
providers/diagnosticsettingspreview,1,3.06E-05
policy,1,3.06E-05
migrationconfigurations,1,3.06E-05
microsoft/web/sites/functions,1,3.06E-05
microsoft.web/sites/host,1,3.06E-05
microsoft.web/sites/data,1,3.06E-05
microsoft.web/certificates/providers/locks,1,3.06E-05
microsoft.vnfmanager/devices,1,3.06E-05
microsoft.virtualnetworks/networkinterfaces,1,3.06E-05
microsoft.subscriptions/offers,1,3.06E-05
microsoft.storage/storageaccounts/networkacls.iprules,1,3.06E-05
microsoft.storage/sotorageaccounts,1,3.06E-05
"microsoft.sql/servers/databases

        }
    ],",1,3.06E-05
microsoft.sql/databases/providers/locks,1,3.06E-05
microsoft.sql/,1,3.06E-05
microsoft.servicefabricmesh/secrets/values,1,3.06E-05
microsoft.servicefabricmesh/secrets,1,3.06E-05
microsoft.servicebus/providers/diagnosticsettings,1,3.06E-05
microsoft.servicebus/authorizationrules,1,3.06E-05
microsoft.securityinsights/dataconnectors,1,3.06E-05
microsoft.resources/templatespecs,1,3.06E-05
microsoft.resources/subscriptions/providers/diagnosticsettings,1,3.06E-05
microsoft.resources/deploymentgit s,1,3.06E-05
microsoft.peering/peerings,1,3.06E-05
microsoft.offazure/hypervsites/clusters,1,3.06E-05
microsoft.notificationhubs/namespaces/notificationhubs/providers/locks,1,3.06E-05
microsoft.network/virutalnetworks,1,3.06E-05
microsoft.network/virtualnetworks/virtualnetworkpeerings/,1,3.06E-05
microsoft.network/virtualnetworks/peering,1,3.06E-05
microsoft.network/loadbalancers/outboundrules,1,3.06E-05
microsoft.network/loadbalancers/loadbalancingrules,1,3.06E-05
microsoft.network/frontdoor/providers/diagnosticsettings,1,3.06E-05
microsoft.network/expressroutecircuits/providers/locks,1,3.06E-05
microsoft.netapp/netappaccounts/capacitypools/volumes/snapshots,1,3.06E-05
microsoft.migrate/assessmentprojects/groups,1,3.06E-05
microsoft.migrate/assessmentprojects,1,3.06E-05
microsoft.media/mediaservices/mediagraphs,1,3.06E-05
microsoft.media/mediaservices/assets,1,3.06E-05
microsoft.maps/accounts/providers/links,1,3.06E-05
microsoft.insights/querypacks,1,3.06E-05
microsoft.insights/components/pricingplans,1,3.06E-05
microsoft.insights/components/,1,3.06E-05
microsoft.insights/actiongroups/,1,3.06E-05
microsoft.incredibuild/clusters,1,3.06E-05
microsoft.hdinsight/clusters/providers/diagnosticsettings,1,3.06E-05
microsoft.documentdb/leasecosmosdbaccountname/sqldatabases,1,3.06E-05
microsoft.documentdb/databaseaccounts/apis/settings,1,3.06E-05
microsoft.documentdb/databaseaccounts/apis/mongodbdatabases/settings,1,3.06E-05
microsoft.documentdb/databaseaccounts/apis/mongodbdatabases/collections/settings,1,3.06E-05
microsoft.documentdb/databaseaccounts/apis/mongodbdatabases/collections,1,3.06E-05
microsoft.documentdb/databaseaccounts/apis/mongodbdatabases,1,3.06E-05
microsoft.documentdb/databaseacconts,1,3.06E-05
microsoft.devices/iothubs/providers/diagnosticsettings,1,3.06E-05
microsoft.dbformysql/servers/administrators,1,3.06E-05
microsoft.datalakestore/accounts/providers/roleassignments,1,3.06E-05
microsoft.databoxedge/databoxedgedevices/devices,1,3.06E-05
microsoft.customproviders/resourceproviders/reslisticons,1,3.06E-05
microsoft.containerservice/providers/locks,1,3.06E-05
microsoft.compute/virtualmachines/extensionsextensions,1,3.06E-05
microsoft.compute/virtualfmachines/extensions,1,3.06E-05
microsoft.compute/hostgroups/hosts/providers/hybridusebenefits,1,3.06E-05
microsoft.compute/availabilityset,1,3.06E-05
microsoft.cognitiveservices/accounts/providers/locks,1,3.06E-05
microsoft.classiccompute/virtualmachines/extensions,1,3.06E-05
microsoft.classiccompute/domainnames/active,1,3.06E-05
microsoft.blobservices/containers,1,3.06E-05
microsoft.billing/enrollmentaccounts/providers/roleassignments,1,3.06E-05
microsoft.backup.providers/backupregistrations,1,3.06E-05
microsoft.azuredata/sqlserverregistrations,1,3.06E-05
microsoft.automation/automationaccounts/sourcecontrols/sourcecontrolsyncjobs,1,3.06E-05
"microsoft.authorization/roleassignments
    ]
}",1,3.06E-05
microsoft.appplatform/spring,1,3.06E-05
microsoft.apimanagement/service/products/tags,1,3.06E-05
microsoft.aadiam/providers/diagnosticsettings,1,3.06E-05
"microsoft.
    
    }
     
]
}",1,3.06E-05
mic,1,3.06E-05
m,1,3.06E-05
images,1,3.06E-05
extentions,1,3.06E-05
extension,1,3.06E-05
exporttemplateengine.tests/testresource1,1,3.06E-05
concat['parameters('domainname')/topics'],1,3.06E-05
blobservices/tables,1,3.06E-05
applications,1,3.06E-05
apis/databases/containers,1,3.06E-05
actions,1,3.06E-05
/subscriptions/ee283b7c-2701-4974-942f-2402d1f401aa/resourcegroups/devtools-factory/providers/microsoft.datafactory/factories/devtools-runtime-host/integrationruntimes/developmenttoolsruntime/roleassignments,1,3.06E-05
/microsoft.powerbidedicated/capacities/providers/diagnosticsettings,1,3.06E-05
/microsoft.network/frontdoors/providers/diagnosticsettings,1,3.06E-05
/microsoft.dbforpostgresql/servers/providers/diagnosticsettings,1,3.06E-05
/microsoft.containerregistry/registries/providers/diagnosticsettings,1,3.06E-05
